id,name,simplified_name,simple_screen_name,screen_name,url,followers_count,classification
36787076,Agência Patrícia Galvão,agência patrícia galvão,ipatriciagalvao,"""ipatriciagalvao""",https://twitter.com/ipatriciagalvao,2334,feminista
5801581,Alina Durso,alina durso,alinadurso,"""alinadurso""",https://twitter.com/alinadurso,79180,feminista
24054791,Amanda Audi,amanda audi,amandafaudi,"""amandafaudi""",https://twitter.com/amandafaudi,129997,feminista
33567936,Amara Moira,amara moira,amoiramara,"""amoiramara""",https://twitter.com/amoiramara,3416,feminista
41281229,Ana Claudia Mielke,ana claudia mielke,anacmielke,"""anacmielke""",https://twitter.com/anacmielke,2173,feminista
90913601,Ana Flor,ana flor,Tdetravesti,"""Tdetravesti""",https://twitter.com/Tdetravesti,31542,feminista
39094554,Andréia de Jesus,andréia de jesus,andreiadejesuus,"""andreiadejesuus""",https://twitter.com/andreiadejesuus,12310,feminista
52216275,Andreza Delgado,andreza delgado,andrezadelgado,"""andrezadelgado""",https://twitter.com/andrezadelgado,68650,feminista
10169131,Anielle Franco,anielle franco,aniellefranco,"""aniellefranco""",https://twitter.com/aniellefranco,94192,feminista
11736682,Anis Bioetica,anis bioetica,anis_bioetica,"""anis_bioetica""",https://twitter.com/anis_bioetica,5752,feminista
1718098,Antonia Pellegrino,antonia pellegrino,apellegrino,"""apellegrino""",https://twitter.com/apellegrino,25110,feminista
89452643,Áurea Carolina,áurea carolina,aureacarolinax,"""aureacarolinax""",https://twitter.com/aureacarolinax,79480,feminista
52215528,Beatriz Cerqueira,beatriz cerqueira,BiaCerqueira_,"""BiaCerqueira_""",https://twitter.com/BiaCerqueira_,4527,feminista
26657874,Bella Gonçalves,bella gonçalves,bellagoncalvs,"""bellagoncalvs""",https://twitter.com/bellagoncalvs,11891,feminista
22881589,Benedita da Silva,benedita da silva,dasilvabenedita,"""dasilvabenedita""",https://twitter.com/dasilvabenedita,93819,feminista
71831585,Bia Ferreira,bia ferreira,iglesbiteriana,"""iglesbiteriana""",https://twitter.com/iglesbiteriana,48973,feminista
22790595,Blogueiras feministas,blogueiras feministas,blogfeministas,"""blogfeministas""",https://twitter.com/blogfeministas,54480,feminista
68428909,Blogueiras Negras,blogueiras negras,BlogNegras,"""BlogNegras""",https://twitter.com/BlogNegras,40237,feminista
24889093,Boteco feminista,boteco feminista,botecofeminista,"""botecofeminista""",https://twitter.com/botecofeminista,9303,feminista
64731051,Bruna de Lara,bruna de lara,delarabru,"""delarabru""",https://twitter.com/delarabru,67703,feminista
92985172,Caia,caia,travestiviva,"""travestiviva""",https://twitter.com/travestiviva,3045,feminista
58934839,Capitolina,capitolina,capitolinafala,"""capitolinafala""",https://twitter.com/capitolinafala,29916,feminista
93629598,Carina Vitral,carina vitral,carinavitral,"""carinavitral""",https://twitter.com/carinavitral,26454,feminista
27773752,Católicas pelo Direito de Decidir,católicas pelo direito de decidir,ascatolicas,"""ascatolicas""",https://twitter.com/ascatolicas,2541,feminista
41304596,CFEMEA,cfemea,cfemea,"""cfemea""",https://twitter.com/cfemea,2204,feminista
16978496,Cida Falabella,cida falabella,FalabellaCida,"""FalabellaCida""",https://twitter.com/FalabellaCida,21771,feminista
17830808,Clara Averbuck,clara averbuck,claraaverbuck,"""claraaverbuck""",https://twitter.com/claraaverbuck,83028,feminista
69949173,Cris Bartis,cris bartis,CrisBartis,"""CrisBartis""",https://twitter.com/CrisBartis,43708,feminista
47572454,Cynara Menezes,cynara menezes,cynaramenezes,"""cynaramenezes""",https://twitter.com/cynaramenezes,247578,feminista
55580301,Dani Monteiro,dani monteiro,danimontpsol,"""danimontpsol""",https://twitter.com/danimontpsol,23926,feminista
86853772,Débora Baldin,débora baldin,deborabaldin_,"""deborabaldin_""",https://twitter.com/deborabaldin_,47764,feminista
16023748,Débora Diniz,débora diniz,Debora_D_Diniz,"""Debora_D_Diniz""",https://twitter.com/Debora_D_Diniz,144644,feminista
69796884,Diana Assunção,diana assunção,DianaAssuncaoED,"""DianaAssuncaoED""",https://twitter.com/DianaAssuncaoED,3218,feminista
74375168,Dríade Aguiar,dríade aguiar,DriadeAguiar,"""DriadeAguiar""",https://twitter.com/DriadeAguiar,3361,feminista
22165640,Eles por Elas,eles por elas,ElesPorElas,"""ElesPorElas""",https://twitter.com/ElesPorElas,10227,feminista
25221255,Eliane Brum,eliane brum,brumelianebrum,"""brumelianebrum""",https://twitter.com/brumelianebrum,323419,feminista
21177708,Elika Takimoto,elika takimoto,elikatakimoto,"""elikatakimoto""",https://twitter.com/elikatakimoto,185129,feminista
27395150,Elza Soares,elza soares,ElzaSoares,"""ElzaSoares""",https://twitter.com/ElzaSoares,73941,feminista
11866205,Erica Malunguinho,erica malunguinho,malunguinho,"""malunguinho""",https://twitter.com/malunguinho,31581,feminista
48175026,Erika Hilton,erika hilton,ErikakHilton,"""ErikakHilton""",https://twitter.com/ErikakHilton,15026,feminista
41483558,Érika Kokay,érika kokay,erikakokay,"""erikakokay""",https://twitter.com/erikakokay,173192,feminista
86858593,Feminismo com Classe,feminismo com classe,ComFeminismo,"""ComFeminismo""",https://twitter.com/ComFeminismo,7457,feminista
2507075,Feminismo pra todos,feminismo pra todos,FeminismoTodos,"""FeminismoTodos""",https://twitter.com/FeminismoTodos,5600,feminista
68798067,feminista Deministando,feminista deministando,LFeministe,"""LFeministe""",https://twitter.com/LFeministe,9917,feminista
74703893,Fernanda Melchionna,fernanda melchionna,fernandapsol,"""fernandapsol""",https://twitter.com/fernandapsol,101823,feminista
29543526,Flávia Oliveira,flávia oliveira,flaviaol,"""flaviaol""",https://twitter.com/flaviaol,195352,feminista
77930687,Flora Babylon,flora babylon,Florababylon,"""Florababylon""",https://twitter.com/Florababylon,25995,feminista
53986783,Gabi Coelho,gabi coelho,gabicoelho,"""gabicoelho""",https://twitter.com/gabicoelho,19059,feminista
