Id,Label,timeset,no,nome_usuario,nome,pessoa,genero,20210215_seguidores,tam_rel_seguidores,ponto_ideal,estado,afiliacao,universidades,partido,saido,suspenso,posicao,profissoes,bio,genero_str,intersec1,intersec1_str,intersec2,intersec2_str,art_prod,polit_militan,jor_com,jus,mid,part_col,polic_militar,prof,saude,ciencia,emp,rel,out,art_prod_str,intersec3,intersec3_str,polit_militan_str,jor_com_str,jus_str,mid_str,part_col_str,polic_militar_str,prof_str,saude_str,ciencia_str,emp_str,rel_str,out_str,federal,federal_str,puc,puc_str,estadual,estadual_str,militar,militar_str,nome_usuario_raw,seguidores_analisados
_pinheira,_pinheira,,67,@_pinheira,Rosana Pinheiro-Machado,1,1,136817,0.020469,-1.38348,RS,,Universidade Federal do Rio Grande do Sul,PSOL,0,0,Feminista,"acadêmico, antropólogo, jornalista, professor",International Development <br>@uniofbath<b...,Feminino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,0,1,0,0,0,0,1,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Não Políticos ou Ativistas,Jornalistas e Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Professores, Intelectuais e Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,1,Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,_pinheira,25118
AbrahamWeint,AbrahamWeint,,168,@AbrahamWeint,Abraham Weintraub,1,0,1007333,0.150708,1.507745,SP,,"Universidade Federal de São Paulo, Universidade de São Paulo",,0,0,Antifeminista,político,"Meu twitter, minhas regras.<br>Tudo aqui é...",Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,1,0,0,0,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,1,Federais,0,Não PUC,1,Estaduais,0,Não Militar,AbrahamWeint,87587
AiltonBenedito,AiltonBenedito,,177,@AiltonBenedito,Ailton Benedito,1,0,228867,0.034241,1.547544,,Conexão Política,,,0,0,Antifeminista,procurador da república,"Yahveh é meu pastor, nada me falta. Ordem....",Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,0,0,1,0,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Não Políticos ou Ativistas,Não Jornalistas ou Comunicadores,Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,AiltonBenedito,34516
AlbuquerqueDavy,AlbuquerqueDavy,,180,@AlbuquerqueDavy,Davy Albuquerque,1,0,127395,0.01906,1.555408,RJ,Conexão Política,Universidade Presbiteriana Mackenzie,Republicanos,0,0,Antifeminista,jornalista,"Carioca, cristão, conservador e chefe de r...",Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,0,1,0,0,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Não Políticos ou Ativistas,Jornalistas e Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,AlbuquerqueDavy,20807
alesilva_38,alesilva_38,,176,@alesilva_38,Alê Silva 🇧🇷 nem lugar na fila eu quero🇧🇷,1,1,132390,0.019807,1.538618,RJ,,Universidade de Uberaba,PSL,0,0,Antifeminista,político,"Alê Silva, Deputada Federal por Minas Gera...",Feminino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,1,0,0,0,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,alesilva_38,18820
AlexAleluia,AlexAleluia,,186,@AlexAleluia,Alexandre Aleluia,1,0,29893,0.004472,1.592104,BA,,Universidade Salvador,Democratas,0,0,Antifeminista,político,• Vereador de Salvador (BA) • Presidente d...,Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,1,0,0,0,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,AlexAleluia,5861
alexandregarcia,alexandregarcia,,126,@alexandregarcia,Alexandre Garcia,1,0,2926405,0.437823,1.115909,RS,,PUC-RS,,0,0,Antifeminista,"jornalista, youtuber",Jornalista. Comentarista em Tv(Canal Rural...,Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,0,1,0,0,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Não Políticos ou Ativistas,Jornalistas e Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,1,PUC,0,Não Estaduais,0,Não Militar,alexandregarcia,131675
alinebarros,alinebarros,,91,@alinebarros,Aline Barros,1,1,4780387,0.7152,0.062928,RJ,,,,0,0,Antifeminista,"músico, religioso, escritor, empresário","Serva do Senhor, pastora, cantora, casada ...",Feminino,0,Não Negra e Não Trans,0,Não Negra e Trans,1,0,0,0,0,0,0,1,0,0,1,1,0,Artistas e Produtores,1,Músico e Religioso,Não Políticos ou Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Professores, Intelectuais e Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Empresários,Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,alinebarros,45366
amandafaudi,amandafaudi,,77,@amandafaudi,Amanda Audi,1,1,135879,0.020329,-1.318421,PR,,Universidade Federal do Paraná,,0,0,Feminista,jornalista,Diretora-executiva do <br>@congressoemfoco...,Feminino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,0,1,0,0,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Não Políticos ou Ativistas,Jornalistas e Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,1,Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,amandafaudi,26309
anapaulavaladao,anapaulavaladao,,90,@anapaulavaladao,Ana Paula Valadão Bessa,1,1,1546385,0.231357,0.05396,MG,,,,0,0,Antifeminista,"músico, religioso, escritor",Cidadã Brasileira e do Céu. Líder do Minis...,Feminino,0,Não Negra e Não Trans,0,Não Negra e Trans,1,0,0,0,0,0,0,1,0,0,0,1,0,Artistas e Produtores,1,Músico e Religioso,Não Políticos ou Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Professores, Intelectuais e Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,anapaulavaladao,32118
